label,dataset,status_C0,wall_time_C0,status_C4,wall_time_C4,node_count_C0,node_count_C4,gain
syn_release_SYN457+1,PELLETIER,FAIL_OPEN,0.5000588000002608,FAIL_OPEN,9.006700300000375,202.0,2463.0,neither (C4 explored more)
syn_release_SYN548+1,PELLETIER,NODE_LIMIT,20.301504000000932,TIMEOUT,30.16821180000079,200000.0,55797.0,neither (C0 explored more)
syn_release_SYN549+1,PELLETIER,NODE_LIMIT,23.001128900001277,TIMEOUT,30.262779699998646,200000.0,49847.0,neither (C0 explored more)
syn_release_SYN550+1,PELLETIER,NODE_LIMIT,17.062766400000328,TIMEOUT,30.017286800000875,200000.0,124500.0,neither (C0 explored more)
syn_release_SYN723+1,PELLETIER,NODE_LIMIT,7.214623099998789,NODE_LIMIT,28.93924590000097,200000.0,200000.0,neither (similar)
syn_release_SYN917+1,PELLETIER,NODE_LIMIT,7.709881100001439,TIMEOUT,30.003479099999822,200000.0,128007.0,neither (C0 explored more)
syn_release_SYN938+1,PELLETIER,NODE_LIMIT,19.682683400000315,TIMEOUT,30.020797400000447,200000.0,30910.0,neither (C0 explored more)
tptp_SYN317,PELLETIER,NODE_LIMIT,6.776466500001334,PROVED,0.0009661000003688969,200000.0,22.0,C4 only
tptp_SYN343,PELLETIER,NODE_LIMIT,22.990843999999925,PROVED,0.0010013000010076212,200000.0,11.0,C4 only
tptp_SYN347,PELLETIER,TIMEOUT,30.012360900000203,PROVED,0.008951199999501114,42887.0,77.0,C4 only
tptp_SYN351,PELLETIER,TIMEOUT,30.003588199999285,PROVED,10.481220499999836,41107.0,6758.0,C4 only
tptp_SYN377,PELLETIER,TIMEOUT,30.06550419999985,PROVED,0.876220000000103,85264.0,2027.0,C4 only
tptp_SYN394,PELLETIER,TIMEOUT,30.050111599999582,PROVED,0.2708407999998599,67854.0,797.0,C4 only
