dataset,|D|,solved_C0,solved_C4,median_wall_time_C0_solved_by_both,median_wall_time_C4_solved_by_both,median_runtime_ratio,wilcoxon_W,wilcoxon_p,mcnemar_p
ALTERNATION,10,5,6,0.1505518000012671,0.16909280000072613,1.4328231213368445,,,1.0
DRINKER,5,5,5,0.0002944999996543629,0.000408199999583303,1.3118675291989774,,,1.0
HOU,16,14,16,0.00018894999993790407,0.00022995000017544953,1.2172219953452001,0.0,0.0001220703125,0.5
ILTP,5,0,0,,,,,,1.0
INVALID_OPEN,12,0,0,,,,,,1.0
PELLETIER,57,25,33,0.000624700000116718,0.0006790999996155733,1.2226148493360962,8.0,1.4901161193847656e-06,0.0078125
PHP,5,1,2,0.00683989999924961,0.0034165000015491387,0.4994956069422002,,,1.0
