label,dataset,status_C0,wall_time_C0,node_count_C0,status_C1,wall_time_C1,node_count_C1,status_C2,wall_time_C2,node_count_C2,status_C3,wall_time_C3,node_count_C3,status_C4,wall_time_C4,node_count_C4
hou_ex10,HOU,PROVED,0.20455110000148125,599.0,PROVED,0.15014900000096532,599.0,PROVED,0.22657769999932498,599.0,PROVED,0.4746201999987534,401.0,PROVED,0.46142019999933837,401.0
hou_ex11,HOU,PROVED,0.00019470000006549526,6.0,PROVED,0.00023920000057842117,6.0,PROVED,0.00023259999943547882,6.0,PROVED,0.0002404000006208662,6.0,PROVED,0.00023550000150862616,6.0
hou_ex12,HOU,PROVED,0.00018319999981031287,6.0,PROVED,0.0002055000004475005,6.0,PROVED,0.00024139999914041255,6.0,PROVED,0.0002097000015055528,6.0,PROVED,0.0002243999988422729,6.0
hou_ex13,HOU,PROVED,0.09564279999904102,352.0,PROVED,0.055259900000237394,352.0,PROVED,0.05818440000075498,352.0,PROVED,0.13111639999988256,352.0,PROVED,0.10032049999972514,352.0
hou_ex16,HOU,PROVED,0.059868999998798245,402.0,PROVED,0.10981429999992542,402.0,PROVED,0.0719107000004442,402.0,PROVED,0.13163989999884507,402.0,PROVED,0.07131769999978133,402.0
hou_ex17,HOU,PROVED,0.0008095000011962838,19.0,PROVED,0.0009025999988807598,19.0,PROVED,0.0009549000005790731,19.0,PROVED,0.0009081999996851664,19.0,PROVED,0.0009313999998994404,19.0
hou_ex19,HOU,NODE_LIMIT,13.022408300001189,200000.0,PROVED,3.992585099998905,52654.0,PROVED,4.010895499999606,52654.0,PROVED,0.4366327999996429,841.0,PROVED,0.47593140000026324,841.0
iltp_ALG211+1,ILTP,NODE_LIMIT,9.122249299998657,200000.0,NODE_LIMIT,22.517769699999917,200000.0,NODE_LIMIT,10.868681399999332,200000.0,TIMEOUT,30.002266799998324,116152.0,TIMEOUT,30.013992000000144,113875.0
iltp_COM003+1,ILTP,NODE_LIMIT,16.77389570000014,200000.0,TIMEOUT,30.001206599999932,139431.0,TIMEOUT,30.00151890000052,133080.0,TIMEOUT,30.025114800000665,103929.0,TIMEOUT,30.009764899999936,110771.0
iltp_COM003+2,ILTP,NODE_LIMIT,18.605245099999593,200000.0,NODE_LIMIT,17.511419800001022,200000.0,NODE_LIMIT,20.357813100001295,200000.0,TIMEOUT,30.00953859999936,53443.0,TIMEOUT,30.015550500000245,52729.0
iltp_COM003+3,ILTP,NODE_LIMIT,28.196272700000918,200000.0,TIMEOUT,30.00155730000006,98355.0,TIMEOUT,30.001625100001547,170413.0,TIMEOUT,30.017770699998437,31396.0,TIMEOUT,30.02104800000052,42941.0
iltp_KRS130+1,ILTP,NODE_LIMIT,8.390622799999619,200000.0,NODE_LIMIT,9.520943800000168,200000.0,NODE_LIMIT,9.137871400000222,200000.0,NODE_LIMIT,27.582714000000124,200000.0,NODE_LIMIT,27.145462999998927,200000.0
inv_01,INVALID_OPEN,TIMEOUT,30.00453959999868,35951.0,TIMEOUT,30.007368499998847,37239.0,TIMEOUT,30.004977900000085,35822.0,TIMEOUT,30.00962620000064,33523.0,TIMEOUT,30.00587550000091,33801.0
inv_02,INVALID_OPEN,TIMEOUT,30.006574400000318,30155.0,TIMEOUT,30.01519829999961,33211.0,TIMEOUT,30.00918139999885,26747.0,TIMEOUT,30.004555499999697,27107.0,TIMEOUT,30.009402699999555,29125.0
