dataset,|D|,solved_C0,median_wall_time_C0,solved_C1,median_wall_time_C1,solved_C2,median_wall_time_C2,solved_C3,median_wall_time_C3,solved_C4,median_wall_time_C4
ALTERNATION,10,5,0.1505518000012671,4,0.1650428999992073,4,0.187640599999213,6,0.1472776000000522,6,0.14224325000031968
DRINKER,5,5,0.0002944999996543629,5,0.0003464999990683282,5,0.00037290000000211876,5,0.00033880000046337955,5,0.000408199999583303
HOU,16,14,0.00018894999993790407,15,0.00023920000057842117,15,0.00024139999914041255,16,0.0003232000008210889,16,0.0003114000010100426
ILTP,5,0,,0,,0,,0,,0,
INVALID_OPEN,12,0,,0,,0,,0,,0,
PELLETIER,57,25,0.000624700000116718,33,0.0010437999990244862,33,0.0011026000011042925,33,0.0010597000000416301,33,0.0010013000010076212
PHP,5,1,0.00683989999924961,1,0.006264999999984866,2,0.22041435000028287,1,0.006492399999842746,2,0.21488155000042752
